九龍灣,Na,啟業總站
九龍灣,宏照道,九龍灣運動場
九龍灣商貿區,宏照道,九龍灣臨華街
九龍灣商貿區,常悅道,常悅道
九龍灣商貿區,宏光道,九龍灣消防局
九龍灣商貿區,啟祥道,香港輔助警察隊總部
偉業街天橋； 觀塘道,偉業街天橋； 觀塘道,偉業街天橋； 觀塘道
彩虹,龍翔道,紅萼樓
新蒲崗,Na,新蒲崗四美街
鑽石山,龍翔道,鑽石山站
黃大仙,龍翔道,沙田坳道（C2）
黃大仙,龍翔道,摩士公園泳池
橫頭磡,龍翔道,天馬苑
獅子山隧道,獅子山隧道,獅子山隧道
大圍,Na,獅子山隧道
沙田頭,獅子山隧道公路,新田圍邨
沙田圍,大涌橋路,曾大屋
沙田圍,大涌橋路,乙明邨
沙田圍,大涌橋路,麗豪酒店
圓洲角,大涌橋路,富豪花園
翠榕橋； 沙田路,翠榕橋； 沙田路,翠榕橋； 沙田路
九肚,大埔公路 – 沙田段,落路下
馬料水,大埔公路 – 馬料水段,九肚山路
馬料水,大埔公路 – 馬料水段,海恬閣
馬料水,大埔公路 – 馬料水段,麗坪路
馬料水,大埔公路 – 馬料水段,崇基學院
馬料水,大埔公路 – 馬料水段,赤泥坪
大埔滘,大埔公路 – 大埔滘段,大埔尾
大埔滘,大埔公路 – 大埔滘段,樟樹灘
大埔滘,大埔公路 – 大埔滘段,鹿茵山莊
大埔滘,大埔公路 – 大埔滘段,大埔滘公園
大埔滘,大埔公路 – 大埔滘段,松仔園
大埔滘,大埔公路 – 大埔滘段,荔枝坑
大埔滘,大埔公路 – 大埔滘段,翡翠花園
大埔滘,大埔公路 – 大埔滘段,松濤閣
元洲仔,大埔公路 – 元洲仔段,雍怡雅苑
元洲仔,大埔公路 – 元洲仔段,廣福邨
大埔墟,南運路,運頭塘邨
大埔墟,Na,運頭塘總站
大埔墟,運頭街,大埔墟街市
寶鄉橋,寶鄉橋,寶鄉橋
大埔中心,安祥路,大埔安祥路
大埔舊墟,汀角路,大埔安慈路
太和,大埔太和路,太和邨
太和,Na,太和總站
